Players,Team,Pos.,5v5 TOI,Shots,Chances,Passes,Primary Shot Assists,Home Plate,Low-to-High,Goal Line,NZ Assist,DZ Assist,Zone Entries,Carries...15,Pass Entries,Recoveries,Exit Attempts,Zone Exits,Exits w/ Possession,Exit Assists,Fails,Targets,Carries...24,Denials,Passes Allowed,5v4 Entries,5v4 Carries,5v4 Setups,4v5 Entries,4v5 Carry Denials,5v4 Shots,5v4 Passes,5v4 Primary Setups,5v4 Cross-Slot,5v4 Low-to-High,5v4 Goal Line,Forecheck Pressures,Exit Disruptions,Carry-in%,Pass%,Exit%,Possession Exit%,Fail%,Shots/60,Passes/60...46,A1/60,Shot Contributions/60,Entries/60,Carries/60,Passes/60...51,Attempts/60,Exits/60,Possession/60,Fail/60,Assists/60,Targets/60,Carry Against%,Denial%,Passes Allowed%,Recoveries/60,5v4 Carry%,5v4 Setup%,NZ Assist/60,DZ Assist/60,Transition Plays/60,Cycle Plays/60,Slot Passes/60,Goal Line Passes/60,High Danger Passes/60,L2H Passes/60,Pressures/60,Disruptions/60
Brad Marchand,BOS,F,276.75,43,24,107,85,4,22,7,14,12,98,59,27,16,94,84,56,5,10,6,0,4,0,25,16,10,11,3,27,67,32,0,13,0,36,27,60.2%,27.6%,89.4%,59.6%,10.6%,9.32,23.2,18.43,27.75,21.25,12.79,5.85,20.38,18.21,12.14,2.17,1.08,1.3,0.0%,66.7%,0.0%,3.47,64.0%,40.0%,3.04,2.6,5.64,17.56,0.87,1.52,2.38,4.77,7.8,5.85
Brandon Carlo,BOS,D,307.02,51,2,26,13,0,0,0,2,7,52,10,3,0,125,91,39,18,29,156,89,13,25,1,0,1,0,8,0,0,0,0,0,0,13,9,19.2%,5.8%,72.8%,31.2%,23.2%,9.97,5.08,2.54,12.51,10.16,1.95,0.59,24.43,17.78,7.62,5.67,3.52,30.49,57.1%,8.3%,28.1%,0,0.0%,100.0%,0.39,1.37,1.76,3.32,0,0,0,0,2.54,1.76
Brett Ritchie,BOS,F,77.17,12,7,3,2,0,1,0,0,1,17,2,1,3,19,17,8,0,2,1,1,0,0,2,0,1,0,0,1,0,0,0,0,0,6,6,11.8%,5.9%,89.5%,42.1%,10.5%,9.33,2.33,1.56,10.89,13.22,1.56,0.78,14.77,13.22,6.22,1.56,0,0.78,100.0%,0.0%,0.0%,2.33,0.0%,50.0%,0,0.78,0.78,1.56,0,0,0,0.78,4.67,4.67
Cameron Hughes,BOS,F,9.3,1,0,1,1,0,0,0,0,0,2,1,1,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,50.0%,50.0%,33.3%,0.0%,33.3%,6.45,6.45,6.45,12.9,12.9,6.45,6.45,19.35,6.45,0,6.45,0,0,0.0%,0.0%,0.0%,0,0.0%,0.0%,0,0,0,6.45,0,0,0,0,6.45,0
Charlie Coyle,BOS,F,280.83,42,23,71,49,0,16,2,8,3,90,52,20,12,97,75,42,8,17,14,3,6,3,7,6,3,3,7,8,19,7,1,0,1,38,24,57.8%,22.2%,77.3%,43.3%,17.5%,8.97,15.17,10.47,19.44,19.23,11.11,4.27,20.72,16.02,8.97,3.63,1.71,2.99,21.4%,42.9%,100.0%,2.56,85.7%,42.9%,1.71,0.64,2.35,12.82,0,0.43,0.43,3.42,8.12,5.13
Charlie Mcavoy,BOS,D,348.51,44,5,67,37,2,2,0,7,20,65,26,12,1,155,126,68,28,25,142,83,21,41,13,9,9,0,8,12,9,5,1,0,1,11,7,40.0%,18.5%,81.3%,43.9%,16.1%,7.58,11.53,6.37,13.95,11.19,4.48,2.07,26.69,21.69,11.71,4.3,4.82,24.45,58.5%,14.8%,49.4%,0.17,69.2%,69.2%,1.21,3.44,4.65,6.89,0.34,0,0.34,0.34,1.89,1.21
Chris Wagner,BOS,F,230.2,32,12,33,21,2,6,4,6,1,66,25,2,7,58,45,26,4,11,13,5,6,3,0,0,0,4,4,1,0,0,0,0,0,32,26,37.9%,3.0%,77.6%,44.8%,19.0%,8.34,8.6,5.47,13.81,17.2,6.52,0.52,15.12,11.73,6.78,2.87,1.04,3.39,38.5%,46.2%,60.0%,1.82,0.0%,0.0%,1.56,0.26,1.82,6.78,0.52,1.04,1.56,1.56,8.34,6.78
Connor Clifton,BOS,D,145.6,17,3,11,6,0,1,0,2,4,26,8,3,0,73,52,20,11,18,51,31,4,9,1,1,0,0,0,1,1,0,0,0,0,5,5,30.8%,11.5%,71.2%,27.4%,24.7%,7.01,4.53,2.47,9.48,10.71,3.3,1.24,30.08,21.43,8.24,7.42,4.53,21.02,60.8%,7.8%,29.0%,0,100.0%,0.0%,0.82,1.65,2.47,2.06,0,0,0,0.41,2.06,2.06
Danton Heinen,BOS,F,134.02,19,9,30,22,3,8,1,4,1,47,29,12,4,40,30,19,3,10,1,1,0,0,7,6,3,1,0,3,14,6,0,0,1,29,23,61.7%,25.5%,75.0%,47.5%,25.0%,8.51,13.43,9.85,18.36,21.04,12.98,5.37,17.91,13.43,8.51,4.48,1.34,0.45,100.0%,0.0%,0.0%,1.79,85.7%,42.9%,1.79,0.45,2.24,11.19,1.34,0.45,1.79,3.58,12.98,10.3
David Backes,BOS,F,16.72,3,1,5,5,0,2,0,2,0,5,3,3,2,11,8,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,60.0%,60.0%,72.7%,27.3%,27.3%,10.77,17.94,17.94,28.71,17.94,10.77,10.77,39.47,28.71,10.77,10.77,0,0,0.0%,0.0%,0.0%,7.18,0.0%,0.0%,7.18,0,7.18,10.77,0,0,0,7.18,3.59,3.59
David Krejci,BOS,F,276.96,35,13,87,62,4,17,2,10,8,61,39,17,11,76,66,37,6,9,6,1,3,1,34,20,18,0,0,11,24,12,1,3,1,44,38,63.9%,27.9%,86.8%,48.7%,11.8%,7.58,18.85,13.43,21.01,13.21,8.45,3.68,16.46,14.3,8.02,1.95,1.3,1.3,16.7%,50.0%,100.0%,2.38,58.8%,52.9%,2.17,1.73,3.9,14.95,0.87,0.43,1.3,3.68,9.53,8.23
David Pastrnak,BOS,F,306.61,105,49,72,45,7,14,0,7,6,122,81,26,12,118,90,49,6,25,4,0,2,0,57,36,22,0,0,48,50,34,7,3,1,53,37,66.4%,21.3%,76.3%,41.5%,21.2%,20.55,14.09,8.81,29.35,23.87,15.85,5.09,23.09,17.61,9.59,4.89,1.17,0.78,0.0%,50.0%,0.0%,2.35,63.2%,38.6%,1.37,1.17,2.54,11.55,1.37,0,1.37,2.74,10.37,7.24
Jack Studnicka,BOS,F,8.78,2,1,3,3,1,0,0,0,1,2,1,0,1,5,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.0%,0.0%,60.0%,20.0%,40.0%,13.66,20.49,20.49,34.16,13.66,6.83,0,34.16,20.49,6.83,13.66,0,0,0.0%,0.0%,0.0%,6.83,0.0%,0.0%,0,6.83,6.83,13.66,6.83,0,6.83,0,0,0
Jake Debrusk,BOS,F,268.56,57,30,64,43,3,12,2,8,5,92,50,13,14,88,73,44,6,13,13,2,2,0,9,6,5,0,0,11,7,1,0,1,0,46,42,54.3%,14.1%,83.0%,50.0%,14.8%,12.73,14.3,9.61,22.34,20.55,11.17,2.9,19.66,16.31,9.83,2.9,1.34,2.9,15.4%,15.4%,0.0%,3.13,66.7%,55.6%,1.79,1.12,2.9,11.39,0.67,0.45,1.12,2.68,10.28,9.38
Jeremy Lauzon,BOS,D,128.9,21,4,12,7,0,0,0,0,4,19,3,1,0,45,35,19,8,9,54,37,4,13,0,0,0,0,0,0,0,0,0,0,0,4,3,15.8%,5.3%,77.8%,42.2%,20.0%,9.78,5.59,3.26,13.03,8.84,1.4,0.47,20.95,16.29,8.84,4.19,3.72,25.14,68.5%,7.4%,35.1%,0,0.0%,0.0%,0,1.86,1.86,3.72,0,0,0,0,1.86,1.4
Joakim Nordstrom,BOS,F,138.46,19,4,11,8,0,4,0,2,1,35,9,1,8,35,30,13,3,4,9,4,4,2,0,0,0,1,1,0,0,0,0,0,0,15,12,25.7%,2.9%,85.7%,37.1%,11.4%,8.23,4.77,3.47,11.7,15.17,3.9,0.43,15.17,13,5.63,1.73,1.3,3.9,44.4%,44.4%,50.0%,3.47,0.0%,0.0%,0.87,0.43,1.3,3.47,0,0,0,1.73,6.5,5.2
John Moore,BOS,D,93.93,17,2,9,2,0,0,0,1,4,9,1,0,0,44,32,12,7,12,47,29,6,10,0,0,0,1,1,2,0,0,0,0,0,1,0,11.1%,0.0%,72.7%,27.3%,27.3%,10.86,5.75,1.28,12.14,5.75,0.64,0,28.11,20.44,7.67,7.67,4.47,30.02,61.7%,12.8%,34.5%,0,0.0%,0.0%,0.64,2.56,3.19,2.56,0,0,0,0,0.64,0
Karson Kuhlman,BOS,F,58.1,8,3,11,8,1,1,2,2,1,15,8,2,4,22,18,5,0,3,3,0,2,0,0,0,0,1,0,1,0,0,0,0,0,14,10,53.3%,13.3%,81.8%,22.7%,13.6%,8.26,11.36,8.26,16.52,15.49,8.26,2.07,22.72,18.59,5.16,3.1,0,3.1,0.0%,66.7%,0.0%,4.13,0.0%,0.0%,2.07,1.03,3.1,8.26,1.03,2.07,3.1,1.03,14.46,10.33
Matt Grzelcyk,BOS,D,334.56,56,5,40,26,0,2,1,8,12,35,11,5,0,138,107,64,22,24,102,61,6,15,13,5,6,0,2,7,23,11,1,1,0,9,8,31.4%,14.3%,77.5%,46.4%,17.4%,10.04,7.17,4.66,14.71,6.28,1.97,0.9,24.75,19.19,11.48,4.3,3.95,18.29,59.8%,5.9%,24.6%,0,38.5%,46.2%,1.43,2.15,3.59,3.59,0,0.18,0.18,0.36,1.61,1.43
Nick Ritchie,BOS,F,82.22,10,2,13,6,0,1,1,3,1,20,8,2,7,21,18,10,4,3,3,0,0,0,2,1,2,0,0,2,1,0,0,0,0,13,11,40.0%,10.0%,85.7%,47.6%,14.3%,7.3,9.49,4.38,11.68,14.6,5.84,1.46,15.33,13.14,7.3,2.19,2.92,2.19,0.0%,0.0%,0.0%,5.11,50.0%,100.0%,2.19,0.73,2.92,6.57,0,0.73,0.73,0.73,9.49,8.03
Ondrej Kase,BOS,F,75.52,14,4,16,10,0,5,0,2,2,23,13,3,6,24,21,7,0,3,2,1,1,0,2,0,0,0,0,2,3,3,0,1,0,12,12,56.5%,13.0%,87.5%,29.2%,12.5%,11.12,12.71,7.95,19.07,18.27,10.33,2.38,19.07,16.69,5.56,2.38,0,1.59,50.0%,50.0%,0.0%,4.77,0.0%,0.0%,1.59,1.59,3.18,9.53,0,0,0,3.97,9.53,9.53
Par Lindholm,BOS,F,141.37,16,2,26,20,0,4,0,1,0,37,12,6,8,35,28,16,1,6,8,1,5,1,0,0,0,2,3,0,0,0,0,0,0,22,17,32.4%,16.2%,80.0%,45.7%,17.1%,6.79,11.04,8.49,15.28,15.7,5.09,2.55,14.85,11.88,6.79,2.55,0.42,3.4,12.5%,62.5%,100.0%,3.4,0.0%,0.0%,0.42,0,0.42,10.61,0,0,0,1.7,9.34,7.22
Patrice Bergeron,BOS,F,238.64,47,21,70,39,3,8,3,6,8,66,27,12,9,72,56,24,5,12,18,2,8,1,13,9,6,1,3,31,32,15,2,1,1,39,28,40.9%,18.2%,77.8%,33.3%,16.7%,11.82,17.6,9.81,21.62,16.59,6.79,3.02,18.1,14.08,6.03,3.02,1.26,4.53,11.1%,44.4%,50.0%,2.26,69.2%,46.2%,1.51,2.01,3.52,14.08,0.75,0.75,1.51,2.01,9.81,7.04
Peter Cehlarik,BOS,F,8.83,0,0,3,3,1,2,0,0,0,2,2,1,2,3,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,100.0%,50.0%,66.7%,66.7%,33.3%,0,20.39,20.39,20.39,13.59,13.59,6.8,20.39,13.59,13.59,6.8,0,0,0.0%,0.0%,0.0%,13.59,0.0%,0.0%,0,0,0,20.39,6.8,0,6.8,13.59,6.8,6.8
Sean Kuraly,BOS,F,245.42,45,21,49,34,1,8,1,6,5,88,41,11,14,106,83,41,4,16,6,2,2,1,0,0,0,4,0,0,2,1,0,0,0,51,42,46.6%,12.5%,78.3%,38.7%,15.1%,11,11.98,8.31,19.31,21.51,10.02,2.69,25.91,20.29,10.02,3.91,0.98,1.47,33.3%,33.3%,50.0%,3.42,0.0%,0.0%,1.47,1.22,2.69,9.29,0.24,0.24,0.49,1.96,12.47,10.27
Steven Kampfer,BOS,D,57.95,6,1,2,2,0,0,0,0,0,9,2,1,0,21,15,5,3,5,17,7,1,3,0,0,0,0,0,0,4,3,0,0,0,6,2,22.2%,11.1%,71.4%,23.8%,23.8%,6.21,2.07,2.07,8.28,9.32,2.07,1.04,21.74,15.53,5.18,5.18,3.11,17.6,41.2%,5.9%,42.9%,0,0.0%,0.0%,0,0,0,2.07,0,0,0,0,6.21,2.07
Torey Krug,BOS,D,242.52,57,4,46,22,1,0,0,7,14,29,15,5,0,120,97,48,23,18,80,42,8,12,20,10,9,0,1,25,66,40,3,2,3,12,11,51.7%,17.2%,80.8%,40.0%,15.0%,14.1,11.38,5.44,19.55,7.17,3.71,1.24,29.69,24,11.88,4.45,5.69,19.79,52.5%,10.0%,28.6%,0,50.0%,45.0%,1.73,3.46,5.2,6.19,0.25,0,0.25,0,2.97,2.72
Urho Vaakanainen,BOS,D,27.3,4,0,2,1,0,0,0,1,1,5,0,0,0,13,10,3,0,3,14,8,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0%,0.0%,76.9%,23.1%,23.1%,8.79,4.4,2.2,10.99,10.99,0,0,28.57,21.98,6.59,6.59,0,30.77,57.1%,14.3%,12.5%,0,0.0%,0.0%,2.2,2.2,4.4,0,0,0,0,0,2.2,2.2
Zach Senyshyn,BOS,F,20.99,3,1,2,2,0,1,0,0,1,6,0,0,0,11,6,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.0%,0.0%,54.5%,27.3%,27.3%,8.58,5.72,5.72,14.29,17.15,0,0,31.44,17.15,8.58,8.58,0,0,0.0%,0.0%,0.0%,0,0.0%,0.0%,0,2.86,2.86,2.86,0,0,0,2.86,5.72,5.72
Zdeno Chara,BOS,D,385.1,50,2,35,16,0,0,0,2,18,37,5,3,0,165,124,49,33,32,164,84,21,33,0,0,0,0,12,0,2,0,0,0,0,8,5,13.5%,8.1%,75.2%,29.7%,19.4%,7.79,5.45,2.49,10.28,5.76,0.78,0.47,25.71,19.32,7.63,4.99,5.14,25.55,51.2%,12.8%,39.3%,0,0.0%,0.0%,0.31,2.8,3.12,2.34,0,0,0,0,1.25,0.78
Brandon Montour,BUF,D,312.55,45,5,41,23,0,1,0,4,11,46,10,2,1,116,91,37,14,21,111,80,7,22,3,3,1,0,1,4,6,2,0,0,0,11,9,21.7%,4.3%,78.4%,31.9%,18.1%,8.64,7.87,4.42,13.05,8.83,1.92,0.38,22.27,17.47,7.1,4.03,2.69,21.31,72.1%,6.3%,27.5%,0.19,100.0%,33.3%,0.77,2.11,2.88,4.99,0,0,0,0.19,2.11,1.73
Casey Mittelstadt,BUF,F,118.45,14,7,21,15,0,7,0,1,2,32,13,1,5,31,21,15,1,9,2,2,0,2,16,10,7,0,0,2,10,3,2,0,0,10,9,40.6%,3.1%,67.7%,48.4%,29.0%,7.09,10.64,7.6,14.69,16.21,6.59,0.51,15.7,10.64,7.6,4.56,0.51,1.01,100.0%,0.0%,100.0%,2.53,62.5%,43.8%,0.51,1.01,1.52,9.12,0,0,0,3.55,5.07,4.56
Colin Miller,BUF,D,222.62,46,2,30,15,0,0,0,3,12,22,5,1,0,99,71,34,20,24,77,51,6,21,1,0,0,0,0,14,10,6,1,0,0,8,7,22.7%,4.5%,71.7%,34.3%,24.2%,12.4,8.09,4.04,16.44,5.93,1.35,0.27,26.68,19.14,9.16,6.47,5.39,20.75,66.2%,7.8%,41.2%,0,0.0%,0.0%,0.81,3.23,4.04,4.04,0,0,0,0,2.16,1.89
Conor Sheary,BUF,F,163.22,40,17,41,27,1,5,1,11,2,61,34,15,7,47,42,26,3,4,3,1,2,0,3,3,2,0,0,11,5,0,0,0,0,24,19,55.7%,24.6%,89.4%,55.3%,8.5%,14.7,15.07,9.92,24.63,22.42,12.5,5.51,17.28,15.44,9.56,1.47,1.1,1.1,33.3%,66.7%,0.0%,2.57,100.0%,66.7%,4.04,0.74,4.78,10.29,0.37,0.37,0.74,1.84,8.82,6.98
Curtis Lazar,BUF,F,114.65,12,6,23,13,1,3,0,3,1,39,19,1,7,29,20,11,2,8,9,3,1,5,0,0,0,5,4,0,0,0,0,0,0,11,9,48.7%,2.6%,69.0%,37.9%,27.6%,6.28,12.04,6.8,13.08,20.41,9.94,0.52,15.18,10.47,5.76,4.19,1.05,4.71,33.3%,11.1%,166.7%,3.66,0.0%,0.0%,1.57,0.52,2.09,9.94,0.52,0,0.52,1.57,5.76,4.71
Dalton Smith,BUF,F,1.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0.0%,0.0%,0,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0
Dominik Kahun,BUF,F,69.6,9,4,20,12,0,3,2,2,3,18,6,3,0,23,19,15,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,33.3%,16.7%,82.6%,65.2%,8.7%,7.76,17.24,10.34,18.1,15.52,5.17,2.59,19.83,16.38,12.93,1.72,1.72,1.72,50.0%,0.0%,0.0%,0,0.0%,0.0%,1.72,2.59,4.31,12.93,0,1.72,1.72,2.59,10.34,10.34
Evan Rodrigues,BUF,F,71.12,6,3,12,6,0,2,0,1,4,19,11,2,1,28,23,9,3,4,2,2,0,2,0,0,0,0,0,1,2,1,0,1,0,11,9,57.9%,10.5%,82.1%,32.1%,14.3%,5.06,10.12,5.06,10.12,16.03,9.28,1.69,23.62,19.4,7.59,3.37,2.53,1.69,100.0%,0.0%,100.0%,0.84,0.0%,0.0%,0.84,3.37,4.22,5.91,0,0,0,1.69,9.28,7.59
Henri Jokiharju,BUF,D,330.64,61,2,60,32,3,1,0,2,25,24,8,5,0,152,121,71,39,23,118,65,11,28,1,1,0,0,4,0,0,0,0,0,0,15,14,33.3%,20.8%,79.6%,46.7%,15.1%,11.07,10.89,5.81,16.88,4.36,1.45,0.91,27.58,21.96,12.88,4.17,7.08,21.41,55.1%,9.3%,43.1%,0,100.0%,0.0%,0.36,4.54,4.9,5.99,0.54,0,0.54,0.18,2.72,2.54
Jack Eichel,BUF,F,351.69,71,29,130,84,6,19,10,8,8,134,104,29,21,125,94,74,18,28,18,7,2,4,45,34,26,2,0,31,66,34,9,12,4,61,49,77.6%,21.6%,75.2%,59.2%,22.4%,12.11,22.18,14.33,26.44,22.86,17.74,4.95,21.33,16.04,12.62,4.78,3.07,3.07,38.9%,11.1%,57.1%,3.58,75.6%,57.8%,1.36,1.36,2.73,19.45,1.02,1.71,2.73,3.24,10.41,8.36
Jake Mccabe,BUF,D,321.77,54,3,44,30,2,1,0,3,15,48,6,1,0,129,91,36,28,29,104,71,13,33,0,0,0,1,6,0,0,0,0,0,0,20,17,12.5%,2.1%,70.5%,27.9%,22.5%,10.07,8.2,5.59,15.66,8.95,1.12,0.19,24.05,16.97,6.71,5.41,5.22,19.39,68.3%,12.5%,46.5%,0,0.0%,0.0%,0.56,2.8,3.36,4.85,0.37,0,0.37,0.19,3.73,3.17
Jean-Sebastien Dea,BUF,F,9.65,1,0,1,1,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0.0%,0.0%,0.0%,0.0%,0.0%,6.22,6.22,6.22,12.44,12.44,0,0,0,0,0,0,0,0,0.0%,0.0%,0.0%,24.87,0.0%,0.0%,0,0,0,6.22,0,0,0,0,0,0
Jeff Skinner,BUF,F,271.73,86,46,42,24,2,2,1,9,4,69,50,6,6,67,55,38,3,11,3,1,1,0,10,6,3,0,0,21,19,9,2,1,0,33,27,72.5%,8.7%,82.1%,56.7%,16.4%,18.99,9.27,5.3,24.29,15.24,11.04,1.32,14.79,12.14,8.39,2.43,0.66,0.66,33.3%,33.3%,0.0%,1.32,60.0%,30.0%,1.99,0.88,2.87,6.4,0.44,0.22,0.66,0.44,7.29,5.96
Jimmy Vesey,BUF,F,221.7,34,19,37,20,1,8,0,2,5,57,33,9,9,66,52,30,6,14,4,2,1,1,6,4,3,3,0,3,5,2,1,1,0,31,29,57.9%,15.8%,78.8%,45.5%,21.2%,9.2,10.01,5.41,14.61,15.43,8.93,2.44,17.86,14.07,8.12,3.79,1.62,1.08,50.0%,25.0%,50.0%,2.44,66.7%,50.0%,0.54,1.35,1.89,8.12,0.27,0,0.27,2.17,8.39,7.85
Johan Larsson,BUF,F,247.63,19,9,63,46,1,19,3,6,6,68,37,13,23,67,54,29,4,11,15,7,5,3,1,1,0,3,1,0,0,0,0,0,0,31,28,54.4%,19.1%,80.6%,43.3%,16.4%,4.6,15.26,11.15,15.75,16.48,8.96,3.15,16.23,13.08,7.03,2.67,0.97,3.63,46.7%,33.3%,42.9%,5.57,100.0%,0.0%,1.45,1.45,2.91,12.36,0.24,0.73,0.97,4.6,7.51,6.78
John Gilmour,BUF,D,18.32,3,0,2,1,0,0,0,0,1,5,1,0,0,6,4,1,2,2,5,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0%,0.0%,66.7%,16.7%,33.3%,9.83,6.55,3.28,13.1,16.38,3.28,0,19.65,13.1,3.28,6.55,6.55,16.38,100.0%,0.0%,40.0%,0,0.0%,0.0%,0,3.28,3.28,3.28,0,0,0,0,0,0
Kyle Okposo,BUF,F,192.32,36,10,44,30,2,8,1,5,4,69,32,3,15,59,50,29,5,9,4,1,2,0,3,2,2,1,0,1,3,0,0,0,0,29,22,46.4%,4.3%,84.7%,49.2%,15.3%,11.23,13.73,9.36,20.59,21.53,9.98,0.94,18.41,15.6,9.05,2.81,1.56,1.25,25.0%,50.0%,0.0%,4.68,66.7%,66.7%,1.56,1.25,2.81,10.92,0.62,0.31,0.94,2.5,9.05,6.86
Lawrence Pilut,BUF,D,42,9,0,5,2,0,0,0,0,2,6,2,0,0,10,8,6,4,2,10,7,0,4,0,0,0,1,0,0,0,0,0,0,0,3,3,33.3%,0.0%,80.0%,60.0%,20.0%,12.86,7.14,2.86,15.71,8.57,2.86,0,14.29,11.43,8.57,2.86,5.71,14.29,70.0%,0.0%,57.1%,0,0.0%,0.0%,0,2.86,2.86,4.29,0,0,0,0,4.29,4.29
Marco Scandella,BUF,D,141.63,23,3,18,12,0,0,0,0,6,5,2,0,0,48,38,16,12,9,55,31,11,10,0,0,0,0,4,0,0,0,0,0,0,3,3,40.0%,0.0%,79.2%,33.3%,18.8%,9.74,7.63,5.08,14.83,2.12,0.85,0,20.33,16.1,6.78,3.81,5.08,23.3,56.4%,20.0%,32.3%,0,0.0%,0.0%,0,2.54,2.54,5.08,0,0,0,0,1.27,1.27
Marcus Johansson,BUF,F,218.45,31,15,70,46,9,13,1,9,4,77,49,22,8,65,55,39,8,9,1,0,0,0,18,9,5,2,0,5,23,10,2,4,0,23,17,63.6%,28.6%,84.6%,60.0%,13.8%,8.51,19.23,12.63,21.15,21.15,13.46,6.04,17.85,15.11,10.71,2.47,2.2,0.27,0.0%,0.0%,0.0%,2.2,50.0%,27.8%,2.47,1.1,3.57,15.66,2.47,0.27,2.75,3.57,6.32,4.67
Michael Frolik,BUF,F,35.27,2,0,5,3,0,1,0,0,1,9,4,3,3,10,9,4,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,44.4%,33.3%,90.0%,40.0%,10.0%,3.4,8.51,5.1,8.51,15.31,6.81,5.1,17.01,15.31,6.81,1.7,0,1.7,100.0%,0.0%,100.0%,5.1,0.0%,0.0%,0,1.7,1.7,6.81,0,0,0,1.7,0,0
Rasmus Asplund,BUF,F,75.27,17,9,14,8,0,2,0,0,4,22,14,6,5,14,11,8,0,3,3,0,2,0,0,0,0,5,1,0,0,0,0,0,0,9,6,63.6%,27.3%,78.6%,57.1%,21.4%,13.55,11.16,6.38,19.93,17.54,11.16,4.78,11.16,8.77,6.38,2.39,0,2.39,0.0%,66.7%,0.0%,3.99,0.0%,0.0%,0,3.19,3.19,7.97,0,0,0,1.59,7.17,4.78
Rasmus Dahlin,BUF,D,299.49,47,8,67,40,3,0,0,2,12,40,16,10,0,132,98,56,33,31,93,56,9,21,10,4,2,0,0,24,55,39,1,0,0,17,15,40.0%,25.0%,74.2%,42.4%,23.5%,9.42,13.42,8.01,17.43,8.01,3.21,2,26.44,19.63,11.22,6.21,6.61,18.63,60.2%,9.7%,37.5%,0,40.0%,20.0%,0.4,2.4,2.8,10.62,0.6,0,0.6,0,3.41,3.01
Rasmus Ristolainen,BUF,D,368.05,57,3,36,23,0,2,0,2,9,41,6,3,0,178,122,48,24,47,157,99,18,34,9,3,1,0,5,14,25,11,0,0,0,21,18,14.6%,7.3%,68.5%,27.0%,26.4%,9.29,5.87,3.75,13.04,6.68,0.98,0.49,29.02,19.89,7.83,7.66,3.91,25.59,63.1%,11.5%,34.3%,0,33.3%,11.1%,0.33,1.47,1.79,4.08,0,0,0,0.33,3.42,2.93
Sam Reinhart,BUF,F,336.04,49,25,80,45,6,10,1,8,13,119,62,27,15,119,98,66,15,18,10,4,5,1,18,7,6,0,0,17,23,12,2,5,1,53,40,52.1%,22.7%,82.4%,55.5%,15.1%,8.75,14.28,8.03,16.78,21.25,11.07,4.82,21.25,17.5,11.78,3.21,2.68,1.79,40.0%,50.0%,25.0%,2.68,38.9%,33.3%,1.43,2.32,3.75,10.53,1.07,0.18,1.25,1.79,9.46,7.14
Victor Olofsson,BUF,F,259.23,55,29,59,31,1,15,1,11,7,68,30,8,10,60,48,33,4,10,1,0,1,0,14,6,8,1,0,27,34,17,2,11,1,32,26,44.1%,11.8%,80.0%,55.0%,16.7%,12.73,13.66,7.18,19.9,15.74,6.94,1.85,13.89,11.11,7.64,2.31,0.93,0.23,0.0%,100.0%,0.0%,2.31,42.9%,57.1%,2.55,1.62,4.17,9.49,0.23,0.23,0.46,3.47,7.41,6.02
Vladimir Sobotka,BUF,F,63.95,8,2,7,5,0,0,0,0,2,13,7,4,0,14,10,7,1,3,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,2,53.8%,30.8%,71.4%,50.0%,21.4%,7.51,6.57,4.69,12.2,12.2,6.57,3.75,13.14,9.38,6.57,2.81,0.94,0.94,0.0%,100.0%,0.0%,0,0.0%,0.0%,0,1.88,1.88,4.69,0,0,0,0,1.88,1.88
Wayne Simmonds,BUF,F,77.33,9,4,17,16,1,2,2,2,2,32,12,5,2,21,19,12,0,2,1,1,0,0,4,2,2,0,0,0,1,1,0,0,0,14,11,37.5%,15.6%,90.5%,57.1%,9.5%,6.98,13.19,12.41,19.4,24.83,9.31,3.88,16.29,14.74,9.31,1.55,0,0.78,100.0%,0.0%,0.0%,1.55,50.0%,50.0%,1.55,1.55,3.1,10.09,0.78,1.55,2.33,1.55,10.86,8.53
Zach Bogosian,BUF,D,70.15,9,1,6,2,0,0,0,0,1,9,1,1,0,25,18,8,7,5,36,27,2,11,0,0,0,0,4,0,0,0,0,0,0,1,1,11.1%,11.1%,72.0%,32.0%,20.0%,7.7,5.13,1.71,9.41,7.7,0.86,0.86,21.38,15.4,6.84,4.28,5.99,30.79,75.0%,5.6%,40.7%,0,0.0%,0.0%,0,0.86,0.86,4.28,0,0,0,0,0.86,0.86
